"Kolièine nastalih, zbranih in odloženih komunalnih odpadkov po:"
"KOHEZIJSKA/STATISTIÈNA REGIJA, LETO , KAZALNIK"

"SLOVENIJA"
" ";"2010"
"obèinah v administrativnem viru, manj zanesljivi. "
" "
"Manjše kolièine odloženih odpadkov v letu 2016 so posledica "
"izvajanja obdelave mešanih komunalnih odpadkov pred "
"odlaganjem v centrih za ravnanje s komunalnimi odpadki. Vsi "
"mešani komunalni odpadki, nastali v 2016, niso bili "
"obdelani do konca v istem letu, ampak so bili ali bodo "
"odloženi v letu 2017. "
" "

